地点,名字,价格,评价,是否有押金
"30.687376,104.053048",宽窄巷子/春熙路/八宝街/两室一厅精装,¥228起/晚,- 4.8分/27条点评,免押金：小猪在线担保、无需支付押金
"30.663164,104.08361",【劈柴·颢客·水精灵】春熙路里的冬日假期,¥209起/晚,- 4.8分/12条点评,免押金：小猪在线担保、无需支付押金
"30.6576,104.091935",樱の屋春熙路太古里兰桂坊 日式榻榻米小清新,¥248起/晚,- 5分/109条点评,免押金：小猪在线担保、无需支付押金
"30.664822,104.097666",舒适一居/电视塔/地铁市二医院/春熙路太古里,¥188起/晚,- 4.9分/40条点评,免押金：小猪在线担保、无需支付押金
"30.658455,104.077164",「PANDA 桑」可能在春熙路.......,¥208起/晚,- 4.8分/69条点评,免押金：小猪在线担保、无需支付押金
"30.648658,104.099653",俯视半个成都/夜景阳光充沛/温馨大两居观景房,¥328起/晚,- 4.9分/30条点评,免押金：小猪在线担保、无需支付押金
"30.659869,104.059189",宽窄巷子春熙路锦里地铁口北欧风二居室,¥298起/晚,- 5分/24条点评,免押金：小猪在线担保、无需支付押金
"31.001539,103.654583",都江堰民宿现代简约风格套房温馨套一近公园景区,¥198,- 5分/11条点评,免押金：小猪在线担保、无需支付押金
"30.65559,104.066214",市中心｜超大投影｜落地窗公寓｜北欧清新,¥198起/晚,- 4.9分/65条点评,免押金：小猪在线担保、无需支付押金
"30.648529,104.099559",市中心/各景点便捷豪华温馨大套二,¥368起/晚,- 4.9分/11条点评,免押金：小猪在线担保、无需支付押金
"31.0016,103.654565",都江堰市景区附近离堆公园南桥民宿地中海套一,¥228,- 4.9分/59条点评,免押金：小猪在线担保、无需支付押金
"30.691333,104.111183",动物园/府青路/电子科大/温馨品质二居,¥198起/晚,- 4.9分/14条点评,免押金：小猪在线担保、无需支付押金
"30.695882,104.106871",37楼夜景超美 星级公寓地铁4站直达春熙路,¥298,- 4.8分/20条点评,免押金：小猪在线担保、无需支付押金
"30.675093,104.112819",一环/春熙路/门口是成都特色小吃街/美式两居,¥268起/晚,- 4.9分/36条点评,免押金：小猪在线担保、无需支付押金
"30.685798,104.013161",金沙美食街/简洁舒适宽敞一居室,¥158起/晚,- 5分/8条点评,免押金：小猪在线担保、无需支付押金
"30.972552,103.633425",【蜀屋】都江堰/青城山（川西小院）,¥299起/晚,- 4.9分/14条点评,免押金：小猪在线担保、无需支付押金
"30.658458,104.076988",「春晓」步行至春熙路/地铁口/宽窄巷子,¥238起/晚,- 4.9分/40条点评,免押金：小猪在线担保、无需支付押金
"30.681527,104.05998",柒❤️田螺姑娘❤️北欧套一近八宝街/宽窄巷子,¥198起/晚,- 5分/22条点评,免押金：小猪在线担保、无需支付押金
"30.66018,104.059234",《空中剧院》少女泡泡球#宽窄巷子大投影地铁房,¥218起/晚,- 4.8分/21条点评,免押金：小猪在线担保、无需支付押金
"30.661135,104.076006",天府广场/春熙路太古里/地铁口/一房一厅,¥218起/晚,- 5分/80条点评,免押金：小猪在线担保、无需支付押金
"30.629408,104.1409",凉凉家/地铁7号线大观/成都东站/温馨两居,¥198起/晚,- 5分/23条点评,免押金：小猪在线担保、无需支付押金
"30.620688,104.075031",桐梓林地铁口LOFT美领馆双卧跃层套房,¥388起/晚,- 5分/12条点评,免押金：小猪在线担保、无需支付押金
"30.711371,104.033599",地铁七号线欢乐谷/金沙/火车北站/大套二,¥188起/晚,- 5分/21条点评,免押金：小猪在线担保、无需支付押金
"30.657648,104.092477",春熙路/太古里/九眼桥/双地铁精装二居。,¥318起/晚,- 4.8分/23条点评,免押金：小猪在线担保、无需支付押金
"30.687376,104.053048",宽窄巷子/春熙路/八宝街/两室一厅精装,¥228起/晚,- 4.8分/27条点评,免押金：小猪在线担保、无需支付押金
"31.001539,103.654583",都江堰民宿现代简约风格套房温馨套一近公园景区,¥198,- 5分/11条点评,免押金：小猪在线担保、无需支付押金
"30.663164,104.08361",【劈柴·颢客·水精灵】春熙路里的冬日假期,¥209起/晚,- 4.8分/12条点评,免押金：小猪在线担保、无需支付押金
"30.6576,104.091935",樱の屋春熙路太古里兰桂坊 日式榻榻米小清新,¥248起/晚,- 5分/109条点评,免押金：小猪在线担保、无需支付押金
"30.664822,104.097666",舒适一居/电视塔/地铁市二医院/春熙路太古里,¥188起/晚,- 4.9分/40条点评,免押金：小猪在线担保、无需支付押金
"30.658455,104.077164",「PANDA 桑」可能在春熙路.......,¥208起/晚,- 4.8分/69条点评,免押金：小猪在线担保、无需支付押金
"30.648658,104.099653",俯视半个成都/夜景阳光充沛/温馨大两居观景房,¥328起/晚,- 4.9分/30条点评,免押金：小猪在线担保、无需支付押金
"30.659869,104.059189",宽窄巷子春熙路锦里地铁口北欧风二居室,¥298起/晚,- 5分/24条点评,免押金：小猪在线担保、无需支付押金
"30.65559,104.066214",市中心｜超大投影｜落地窗公寓｜北欧清新,¥198起/晚,- 4.9分/65条点评,免押金：小猪在线担保、无需支付押金
"30.648529,104.099559",市中心/各景点便捷豪华温馨大套二,¥368起/晚,- 4.9分/11条点评,免押金：小猪在线担保、无需支付押金
"31.0016,103.654565",都江堰市景区附近离堆公园南桥民宿地中海套一,¥228,- 4.9分/59条点评,免押金：小猪在线担保、无需支付押金
"30.691333,104.111183",动物园/府青路/电子科大/温馨品质二居,¥198起/晚,- 4.9分/14条点评,免押金：小猪在线担保、无需支付押金
"30.695882,104.106871",37楼夜景超美 星级公寓地铁4站直达春熙路,¥298,- 4.8分/20条点评,免押金：小猪在线担保、无需支付押金
"30.675093,104.112819",一环/春熙路/门口是成都特色小吃街/美式两居,¥268起/晚,- 4.9分/36条点评,免押金：小猪在线担保、无需支付押金
"30.685798,104.013161",金沙美食街/简洁舒适宽敞一居室,¥158起/晚,- 5分/8条点评,免押金：小猪在线担保、无需支付押金
"30.972552,103.633425",【蜀屋】都江堰/青城山（川西小院）,¥299起/晚,- 4.9分/14条点评,免押金：小猪在线担保、无需支付押金
"30.658458,104.076988",「春晓」步行至春熙路/地铁口/宽窄巷子,¥238起/晚,- 4.9分/40条点评,免押金：小猪在线担保、无需支付押金
"30.681527,104.05998",柒❤️田螺姑娘❤️北欧套一近八宝街/宽窄巷子,¥198起/晚,- 5分/22条点评,免押金：小猪在线担保、无需支付押金
"30.66018,104.059234",《空中剧院》少女泡泡球#宽窄巷子大投影地铁房,¥218起/晚,- 4.8分/21条点评,免押金：小猪在线担保、无需支付押金
"30.661135,104.076006",天府广场/春熙路太古里/地铁口/一房一厅,¥218起/晚,- 5分/80条点评,免押金：小猪在线担保、无需支付押金
"30.629408,104.1409",凉凉家/地铁7号线大观/成都东站/温馨两居,¥198起/晚,- 5分/23条点评,免押金：小猪在线担保、无需支付押金
"30.620688,104.075031",桐梓林地铁口LOFT美领馆双卧跃层套房,¥388起/晚,- 5分/12条点评,免押金：小猪在线担保、无需支付押金
"30.711371,104.033599",地铁七号线欢乐谷/金沙/火车北站/大套二,¥188起/晚,- 5分/21条点评,免押金：小猪在线担保、无需支付押金
"30.657648,104.092477",春熙路/太古里/九眼桥/双地铁精装二居。,¥318起/晚,- 4.8分/23条点评,免押金：小猪在线担保、无需支付押金
"30.62855,104.125314",近成都东客站，川师、锦江妇幼保健院地铁二居,¥229,- 4.9分/23条点评,免押金：小猪在线担保、无需支付押金
"30.898624,103.62856",【愫居】青城山·电梯度假洋房,¥258,- 4.7分/4条点评,免押金：小猪在线担保、无需支付押金
"30.655131,104.130236",【蘑菇屋】春熙路/宽窄巷子/万象城旁套二整租,¥288起/晚,- 5分/170条点评,免押金：小猪在线担保、无需支付押金
"30.678707,104.074912",超棒房东【蓝调】宽窄巷子/文殊院地铁口,¥298起/晚,- 4.9分/25条点评,免押金：小猪在线担保、无需支付押金
"30.658036,104.077317",[流年] 两居室 步行至春熙路太古里/近地铁,¥388起/晚,- 4.9分/31条点评,免押金：小猪在线担保、无需支付押金
"30.654051,104.062057",临华西锦里 游宽窄巷子府河耍都旁 新LOFT,¥188起/晚,- 4.9分/247条点评,免押金：小猪在线担保、无需支付押金
"30.627224,104.051711",近武侯锦里☆永丰立交外侧公寓短租10,¥208起/晚,- 4.9分/11条点评,免押金：小猪在线担保、无需支付押金
"30.620626,104.074456",火车南站桐梓林地铁口LOFT春熙路美领馆锦里,¥388起/晚,- 5分/9条点评,免押金：小猪在线担保、无需支付押金
"30.620579,104.074528",【绿落】桐梓林地铁口LOFT春熙路美领馆锦里,¥428起/晚,- 4.9分/5条点评,免押金：小猪在线担保、无需支付押金
"30.627161,104.051662",近武侯锦里☆永丰立交外侧公寓短租11,¥208起/晚,- 4.8分/9条点评,免押金：小猪在线担保、无需支付押金
"30.646393,104.099002",{优家*繁华十里}九眼桥春熙路太古里,¥299起/晚,- 4.9分/11条点评,免押金：小猪在线担保、无需支付押金
"30.670842,104.054536",【一一民宿】宽窄巷子双地铁口,¥368起/晚,- 4.8分/17条点评,免押金：小猪在线担保、无需支付押金
"30.578543,103.993912",双流机场附近 北京华联旁家庭民宿 欧式大床房,¥188起/晚,- 4.9分/81条点评,免押金：小猪在线担保、无需支付押金
"30.657242,104.086504",【森郁美】日式清新和服榻榻米 春熙太古地铁旁,¥258起/晚,- 4.9分/44条点评,免押金：小猪在线担保、无需支付押金
"30.678855,104.075302",超棒房东【天使之翼】文殊院，宽窄巷子,¥298起/晚,- 4.9分/53条点评,免押金：小猪在线担保、无需支付押金
"30.637997,104.011832",近武侯锦里草堂☆武侯立交旁公寓短租35,¥168起/晚,- 4.9分/19条点评,免押金：小猪在线担保、无需支付押金
"30.670392,104.055237",宽窄巷子人民公园双地铁2号4号景区房熊猫风,¥188起/晚,- 5分/55条点评,免押金：小猪在线担保、无需支付押金
"30.673993,104.122207",春熙路/建设路/东郊记忆韩式田园舒适两居,¥268起/晚,- 5分/22条点评,免押金：小猪在线担保、无需支付押金
"30.678661,104.065352",宽窄巷子八宝街锦里舒适简欧小二居室整租住5人,¥268起/晚,- 5分/145条点评,免押金：小猪在线担保、无需支付押金
"30.645632,104.061323",华西医院*武侯祠.锦里*宽窄巷子*太古里地铁,¥299起/晚,- 4.9分/46条点评, 
"30.662905,104.083758",【劈柴·要有柴】面对生活，要抡起斧头，要有柴,¥209起/晚,- 4.6分/14条点评,免押金：小猪在线担保、无需支付押金
"30.97277,103.63168",【巴适】南桥/青城山/白素贞/川西小筑,¥228,- 4.7分/18条点评,免押金：小猪在线担保、无需支付押金
"30.679617,104.063771",文殊院*宽窄巷子*美食广场法式精致套一带投影,¥278起/晚,- 4.9分/27条点评,免押金：小猪在线担保、无需支付押金
"30.662502,104.05873",宽窄巷子人民公园地铁口温馨浪漫二人居,¥198,- 4.6分/14条点评,免押金：小猪在线担保、无需支付押金
"30.648413,104.099856",春熙路/2号线旁/九眼桥河畔/温情三居室,¥398起/晚,- 5分/30条点评,免押金：小猪在线担保、无需支付押金
"30.576742,104.011139",【空姐之家】机场近川大温馨田园风实木大床房,¥158,- 4.9分/22条点评,免押金：小猪在线担保、无需支付押金
"30.652374,104.066604",锦里*武侯祠*宽窄巷子*华西*大两居,¥318起/晚,- 5分/59条点评,免押金：小猪在线担保、无需支付押金
"30.637681,104.012006",近武侯锦里草堂☆武侯立交旁公寓短租34,¥168起/晚,- 5分/16条点评,免押金：小猪在线担保、无需支付押金
"30.657997,104.076994",[漫时光] 两居室 步行至春熙路/近地铁站,¥388起/晚,- 5分/44条点评,免押金：小猪在线担保、无需支付押金
"30.67283,104.05574",宽窄巷子地铁口/大投影/西安路美食街,¥199起/晚,- 4分/6条点评,免押金：小猪在线担保、无需支付押金
"30.683724,104.10149",【小铃铛】一环路电子科大.地铁口温馨两居室,¥238起/晚,- 4.9分/34条点评, 
"30.712808,104.097853",颜回熊猫基地，动物园，火车北站清新套一地铁房,¥128起/晚,- 4.9分/39条点评,免押金：小猪在线担保、无需支付押金
"30.687474,104.050386",一环路/宽窄巷子/火车北站80平米大套二,¥228起/晚,- 4.9分/50条点评,免押金：小猪在线担保、无需支付押金
"30.681077,104.066376",EASY英伦公寓临近宽窄巷的英伦loft,¥238起/晚,- 4.9分/11条点评,免押金：小猪在线担保、无需支付押金
"30.655265,104.066187",南桥小住一一锦里武侯祠南门大桥精装标间,¥168起/晚,- 5分/6条点评,免押金：小猪在线担保、无需支付押金
"30.669652,104.121128",凉凉家/建设巷美食/东郊记忆/海盐清新套二,¥268起/晚,- 4.9分/24条点评,免押金：小猪在线担保、无需支付押金
"30.697116,104.103637",临春熙路太古里宽窄巷子动物园3号地铁汇融名城,¥298,- 5分/23条点评,免押金：小猪在线担保、无需支付押金
"30.662431,104.059082",宽窄巷子/人民公园/浪漫温馨一居,¥198,- 4分/10条点评,免押金：小猪在线担保、无需支付押金
"30.71417,104.097927",颜回熊猫基地，动物园，火车北站清新套二地铁房,¥188起/晚,- 4.9分/27条点评,免押金：小猪在线担保、无需支付押金
"30.561093,104.08657",会展/环球中心地铁1号线2居2卫大套房1车位,¥398起/晚,- 5分/7条点评,免押金：小猪在线担保、无需支付押金
"30.621923,104.07614",南二环桐梓林地铁口【薰衣森林】阳光1.8大床,¥188起/晚,- 4.9分/7条点评, 
"30.685427,104.098316",地铁口春熙路太古里，熊猫基地大二居3床住5人,¥328起/晚,- 5分/37条点评,免押金：小猪在线担保、无需支付押金
"30.971559,103.631818",【小憩】南桥/青城山/白素贞/川西小筑,¥228,- 3条点评,免押金：小猪在线担保、无需支付押金
"30.675487,103.997441",金沙西财贝森4号地铁温馨两居整租,¥268起/晚,- 5分/5条点评,免押金：小猪在线担保、无需支付押金
"30.620641,104.07442",檬檬屋南站桐梓林地铁口LOFT双卧跃层美领馆,¥398起/晚,- 5分/7条点评,免押金：小猪在线担保、无需支付押金
"30.649229,104.149173",【高档楼盘】火车东站近地铁地中海三卧套房,¥328起/晚,- 4.9分/22条点评,免押金：小猪在线担保、无需支付押金
"30.713668,104.099233",颜回熊猫基地，动物园，火车北站清新套一地铁房,¥128起/晚,- 4.9分/126条点评,免押金：小猪在线担保、无需支付押金
"30.657236,104.091483",Tim's House 6#★春熙路影院公寓,¥248起/晚,- 4.9分/100条点评,免押金：小猪在线担保、无需支付押金
